File,Title,Short Description,Needs Update?,Reason or Action Needed
deployment-manual.md,Mylo Deployment Manual,"This document outlines the steps required to deploy the Mylo application in a local, staging, or production environment.",✅,Consider adding preview performance notes or future enhancements
README.md,Untitled,This folder contains deprecated or replaced specifications.,❌,No major content dependency
starter-kit-spec-organization-standard.md,Mylo Starter Kit — Specification Organization Standard,"All official Mylo Starter Kit specifications must follow the structure defined below. This ensures consistency, clarity, and efficient onboarding for anyone contributing to Mylo documentation or feature development.",❌,No major content dependency
template-sets-risks.md,template-sets-risks – Risks & Mitigations,See `template-sets-risks.md` for implementation details.,❌,No major content dependency
font-handling-risks.md,font-handling-risks – Risks & Mitigations,See `font-handling-risks.md` for implementation details.,❌,No major content dependency
smart-style-inference-risks.md,Smart Style Inference – Risks & Mitigations (MVP Scope),See `smart-style-inference-spec.md` for implementation details.,✅,Check AI vs heuristic handling
zoom-functionality-risks.md,zoom-functionality-risks – Risks & Mitigations,See `zoom-functionality-risks.md` for implementation details.,❌,No major content dependency
editor-preview-split-zoom-risks.md,editor-preview-split-zoom-risks – Risks & Mitigations,See `editor-preview-split-zoom-risks.md` for implementation details.,✅,Consider adding preview performance notes or future enhancements
reusable-toolbar-risks.md,reusable-toolbar-risks – Risks & Mitigations,See `reusable-toolbar-risks.md` for implementation details.,❌,No major content dependency
document-versioning-risks.md,document-versioning-risks – Risks & Mitigations,See `document-versioning-risks.md` for implementation details.,❌,No major content dependency
local-save-export-risks.md,local-save-export-risks – Risks & Mitigations,See `local-save-export-risks.md` for implementation details.,❌,No major content dependency
contributor-template-risks.md,Contributor Template Behavior – Risks & Mitigations,See `contributor-template-behavior-spec.md` for usage behavior and toolbar details.,✅,Consider adding preview performance notes or future enhancements
style-settings-modal-risks.md,style-settings-modal-risks – Risks & Mitigations,See `style-settings-modal-risks.md` for implementation details.,❌,No major content dependency
template-thumbnail-generation-risks.md,Thumbnail Creation for Templates — Risks & Mitigations,This document outlines potential risks associated with the Thumbnail Creation feature in Mylo and proposes mitigation strategies for each.,✅,Add rationale about Template Editors being designers using Figma/InDesign
template-settings-risks.md,template-settings-risks – Risks & Mitigations,See `template-settings-risks.md` for implementation details.,❌,No major content dependency
undo-redo-risks.md,undo-redo-risks – Risks & Mitigations,See `undo-redo-risks.md` for implementation details.,❌,No major content dependency
smart-style-inference-spec.md,Smart Style Inference System (Hybrid Heuristic + AI Classification),"Automatically determine whether text is a heading, subhead, paragraph, etc., even if the Contributor does not explicitly label it — so that the Preview can apply the correct styles from the active Template.",✅,Check AI vs heuristic handling
font-handling-spec.md,Mylo Font Handling Specification v2.0 — June 2025,---,✅,Add rationale about Template Editors being designers using Figma/InDesign
guest-role-emulation-spec.md,Mylo Guest Role Emulation Specification,> **Archived Spec**,✅,Add rationale about Template Editors being designers using Figma/InDesign
contributor-template-behavior-spec.md,Contributor Behavior With and Without Templates,"Contributors write freely using a toolbar with formatting tools. They can choose whether or not to use a Template. Templates enable auto-formatting in the Preview panel, while freeform mode allows their own formatting to persist.",✅,Check AI vs heuristic handling
authentication-spec.md,Mylo Authentication System Specification (MVP),This document defines the authentication and user session management system for Mylo MVP.,✅,Add rationale about Template Editors being designers using Figma/InDesign
zoom-functionality-spec.md,Mylo Zoom Functionality Specification,"Zoom enables users to adjust the canvas scale for readability and design precision. This spec covers the behavior for Contributors and Template Editors, with Admins inheriting both.",✅,Add rationale about Template Editors being designers using Figma/InDesign
local-save-export-spec.md,Mylo Local Save & Export Specification,"This specification details the process and functionality for local saving, reopening, and exporting documents in Mylo. It ensures offline accessibility, flexible sharing, and backup options for Contributors and Template Editors.",✅,Add rationale about Template Editors being designers using Figma/InDesign
template-settings-spec.md,Mylo Template Settings Specification,Template Settings define the global design defaults every document starts with. Individual documents can override these via the Style Settings modal.,✅,Add rationale about Template Editors being designers using Figma/InDesign
style-settings-modal-spec.md,Mylo Style Settings Modal Specification,"This specification defines the behavior, layout, and controls of the Style Settings modal, which lets users configure typography, lists, lines, and hyphenation. Tabs appear in the fixed order: Typography → Lists → Lines → Hyphenation. Hyphenation is least-used and can also be set globally in template settings.",✅,Consider adding preview performance notes or future enhancements
template-system-spec.md,Template System Specification,"This document defines how the **Template System** works in Mylo, including both **Template Settings** and **Template Styles**, and explains their interactions.",✅,Add rationale about Template Editors being designers using Figma/InDesign
template-editor-sample-content.md,Template Editor Sample Content Specification,"This document defines how sample content is used within the Template Editor in Mylo. It outlines how content is inserted, stored, and rendered — ensuring it supports design testing while remaining hidden from Contributors.",✅,Add rationale about Template Editors being designers using Figma/InDesign
contributor-template-behavior-spec-v2.md,Contributor Behavior With and Without Templates — v2.0,"Contributors write freely using a toolbar with formatting tools. They can choose whether or not to use a Template. Templates enable auto-formatting in the Preview panel, while freeform mode allows their own formatting to persist.",✅,Check AI vs heuristic handling
reusable-toolbar-components-spec.md,Mylo Reusable Toolbar Components Specification,"This specification outlines the creation of reusable toolbar buttons for Mylo, focusing on maximizing code reuse, improving maintainability, and ensuring consistency across the Contributor, Template Editor, and Admin roles.",✅,Add rationale about Template Editors being designers using Figma/InDesign
top-menu-behavior-mvp.md,Top Menu Behavior Specification,This document defines the structure and functionality of the Top Menu Bar in Mylo. It outlines which menu items are active during the MVP and which are deferred for future implementation.,✅,Add rationale about Template Editors being designers using Figma/InDesign
template-thumbnail-generation.md,Thumbnail Creation for Templates,"This document defines the behavior, triggers, and technical handling of template thumbnail generation in Mylo.",✅,Add rationale about Template Editors being designers using Figma/InDesign
font-size-controls-spec.md,Font Size Controls Specification,This document defines the behavior of font size adjustment controls for Contributors and Template Editors in the Mylo Editor.,✅,Add rationale about Template Editors being designers using Figma/InDesign
trash-management-spec.md,Trash Management Specification,"This document defines the structure and behavior of the Trash system in Mylo. It outlines how deleted items are surfaced, filtered, and managed across roles and item types.",❌,No major content dependency
navigation-and-default-views-spec-v2.md,Navigation and Default Views Specification,This document defines the role-based navigation system and default landing views for each role in Mylo. It replaces the previous generalized concept of a “Dashboard.”,✅,Add rationale about Template Editors being designers using Figma/InDesign
editor-and-preview-spec.md,Editor and Preview Panel Specification,"This document defines the functionality, behavior, and structure of the **Editor** and **Preview** panels in Mylo.",✅,Consider adding preview performance notes or future enhancements
dashboard-navigation-spec.md,Dashboard and Navigation Specification,This document defines the Dashboard layout and Navigation system for Mylo.,✅,Add rationale about Template Editors being designers using Figma/InDesign
breadcrumbs-behavior-spec.md,Untitled,"- Breadcrumbs appear when the user is **browsing within a folder**, such as ""Marketing"" in Documents, ""Proposals"" in Templates, or a single-level team name in Admin views.",✅,Consider adding preview performance notes or future enhancements
template-sets-spec.md,Mylo Template Sets (MVP) Specification,Template Sets help organize and control the visibility of branded templates within an organization. They simplify template management and ensure the right templates are available to the right users.,✅,Add rationale about Template Editors being designers using Figma/InDesign
document-versioning-spec.md,Document Versioning Specification,This document defines how **Document Versioning** works in Mylo.,❌,No major content dependency
undo-redo-system-spec.md,Undo and Redo System Specification,"This document defines the behavior, scope, stack management, UI interaction, and error handling for Undo and Redo operations in Mylo.",✅,Add rationale about Template Editors being designers using Figma/InDesign
smart-style-inference-spec-v2.md,Smart Style Inference System (Heuristic-Only for MVP),"Automatically determine whether text is a heading, subhead, paragraph, etc., even if the Contributor does not explicitly label it — so that the Preview can apply the correct styles from the active Template.",✅,Check AI vs heuristic handling
editor-preview-split-zoom-spec.md,Mylo Editor-Preview Split & Zoom Integration Specification,"This specification defines the behavior of the draggable handle between the Editor and Preview panes, how zoom controls work, and the placement of rulers on the Editor panel.",✅,Add rationale about Template Editors being designers using Figma/InDesign
roadmap.md,Mylo Product Roadmap,This document defines phased development goals for Mylo.,✅,Add rationale about Template Editors being designers using Figma/InDesign
navigation-service-test-plan-phase-3.md,Mylo Navigation Service Test Plan — Phase 3,"This document outlines the comprehensive testing approach for Mylo’s Navigation Service in Phase 3, covering core routing, history, error handling, edge cases, and analytics.",❌,No major content dependency
guest-user-stories.md,Guest  User Stories,This document defines user stories for the **Guest** role in Mylo.,✅,Consider adding preview performance notes or future enhancements
contributor-user-stories.md,Contributor Dashboard and Workflow User Stories,This document defines user stories for the **Contributor** experience in the Mylo Dashboard and document workflows.,✅,Consider adding preview performance notes or future enhancements
template-editor-user-stories.md,Template Editor User Stories,This document defines user stories for the **Template Editor** role in Mylo.,✅,Add rationale about Template Editors being designers using Figma/InDesign
admin-user-stories.md,Admin User Stories,This document defines user stories for the **Admin** role in Mylo.,✅,Add rationale about Template Editors being designers using Figma/InDesign
user-management-spec.md,User Management Specification,This document defines how Admins can create and manage users within the Mylo system. It focuses on the behavior of the New User modal and associated logic for the MVP.,✅,Add rationale about Template Editors being designers using Figma/InDesign
roles-and-permissions.md,Mylo User Roles and Permissions,This document defines the core user roles within Mylo and outlines their capabilities.,✅,Add rationale about Template Editors being designers using Figma/InDesign
data-models.md,Mylo Data Models,This document defines the core **data models** for Mylo's MVP.,✅,Add rationale about Template Editors being designers using Figma/InDesign
glossary.md,Mylo Glossary,This document defines key terms used across Mylo's product documentation and Starter Kit.,✅,Add rationale about Template Editors being designers using Figma/InDesign
product-vision.md,Mylo Product Vision,**Mylo** is a modern document platform designed to separate **content creation** from **design enforcement**.,✅,Add rationale about Template Editors being designers using Figma/InDesign
templates-overview.md,Templates Overview,"This document defines the purpose, structure, and user interaction model for Templates in Mylo.",✅,Add rationale about Template Editors being designers using Figma/InDesign
admin-user-journey.md,Admin User Journey,"To manage users, templates, and system-wide settings in Mylo.",✅,Add rationale about Template Editors being designers using Figma/InDesign
user-flows.md,Mylo User Flows,This document defines major user flows for core activities across different roles in Mylo.,✅,Add rationale about Template Editors being designers using Figma/InDesign
template-switching-journey.md,Template Selection & Switching Journey,Show how Contributors interact with templates mid-document.,✅,Consider adding preview performance notes or future enhancements
template-editor-user-journey.md,Template Editor User Journey,"To design, test, and publish visual templates for consistent styling across documents.",✅,Add rationale about Template Editors being designers using Figma/InDesign
combined-user-journey.md,Combined User Journey: Contributor + Template Editor,"To outline how a user with both Contributor and Template Editor roles works fluidly across writing, styling, and publishing workflows.",✅,Add rationale about Template Editors being designers using Figma/InDesign
role-switching-journey.md,Role-Switching Journey,Enable users with multiple permissions to work across roles fluidly.,✅,Add rationale about Template Editors being designers using Figma/InDesign
guest-user-journey.md,Guest (Visitor) Mode Journey,Allow users to demo or test Mylo without signing up.,✅,Add rationale about Template Editors being designers using Figma/InDesign
contributor-user-journey.md,Contributor User Journey,To create content while templates enforce visual consistency.,✅,Consider adding preview performance notes or future enhancements
mylo-api-user-save-spec.md,Mylo API Contract — User Save Specification,This document defines the API contract for saving and loading User data in Mylo.,❌,No major content dependency
mylo-api-document-save-spec.md,Mylo API Contract — Document Save Specification,This document defines the API contract for saving and loading Documents in Mylo.,❌,No major content dependency
mylo-api-version-save-spec.md,Mylo API Contract — Document Version Save Specification,This document defines the API contract for saving and loading internal Document Versions in Mylo.,❌,No major content dependency
mylo-api-template-save-spec.md,Mylo API Contract — Template Save Specification,This document defines the API contract for saving and loading Templates in Mylo.,❌,No major content dependency
template-marketplace-api-spec.md,Template Marketplace API Specification (Post-MVP),This document defines the future API structure for managing Templates within a public or team-specific Template Marketplace in Mylo.,✅,Add rationale about Template Editors being designers using Figma/InDesign
system-state-flows.md,Mylo System State Flows Specification,This document defines the core system states and lifecycle transitions for documents in Mylo.,✅,Consider adding preview performance notes or future enhancements
template-settings-behavior-spec.md,Template Settings Behavior Specification,This document defines the inheritance rules and interaction behavior between **Template Settings** and **Template Styles** in Mylo.,✅,Add rationale about Template Editors being designers using Figma/InDesign
api-error-handling-guidelines.md,Mylo API and Application Error Handling Guidelines,This document defines standardized error handling practices for Mylo MVP.,❌,No major content dependency
tech-stack-spec.md,Mylo Tech Stack Specification,"This specification outlines the technologies and services used in the development of Mylo. It includes the frontend, backend, AI integration, file handling, authentication, deployment, and version control.",❌,No major content dependency
template-conflict-handling-spec.md,Template Conflict Handling Specification,"This document defines how Mylo manages potential conflicts when a Template is applied, updated, or switched during document creation and editing.",✅,Consider adding preview performance notes or future enhancements
template-performance-optimization-spec.md,Template Performance Optimization Specification,"This document defines caching, lazy loading, and performance optimization behaviors related to Templates in Mylo.",❌,No major content dependency
role-based-routing-permissions-template-editor-spec.md,Mylo Role-Based Routing & Permissions (Template Editor Role) Specification,"This specification defines role-based access and routing logic for the **Template Editor** role, ensuring Template Editors have access to template management and creation tools while being restricted from content editing features.",✅,Add rationale about Template Editors being designers using Figma/InDesign
field-validation-rules.md,Mylo Field Validation Rules Specification,This document defines strict validation requirements for all key user-inputted or system-generated fields in Mylo.,❌,No major content dependency
save-status-indicator-spec.md,Save Status Indicator Specification,"This document defines the design, behavior, and rules for the Save Status Indicator component inside the Mylo Contributor and Template Editor panels.",✅,Add rationale about Template Editors being designers using Figma/InDesign
role-based-routing-permissions-admin-spec.md,Mylo Role-Based Routing & Permissions (Admin Role) Specification,"This specification defines role-based access and routing logic for the **Admin** role, ensuring Admins have access to all pages and features, including both content and design-related features.",❌,No major content dependency
role-based-routing-permissions-contributor-spec.md,Mylo Role-Based Routing & Permissions (Contributor Role) Specification,"This specification defines role-based access and routing logic for the **Contributor** role, ensuring that Contributors only have access to content editing tools while being restricted from template management features.",✅,Add rationale about Template Editors being designers using Figma/InDesign
autosave-sync-rules.md,Mylo Autosave and Sync Timing Rules Specification,"This document defines the behavior, intervals, triggers, and fallback strategies for autosaving documents and synchronizing the Editor and Preview panels in Mylo.",❌,No major content dependency
